GOOG," Google, Inc. ", 1760.74 , 1798.10 , 1827.95 , 1826.77 , 1827.99 , 1819.48 , 1818.55
AAPL," Apple, Inc. ", 119.05 , 122.72 , 123.08, 122.94, 122.25 , 123.75 , 124.38
MSFT," Microsoft, Inc. ", 214.07 , 216.21 , 215.37 , 214.24 , 214.36 , 214.29 , 216.01
TSLA, Tesla , 567.60 , 584.76 , 568.82 , 593.38, 599.04 , 641.76 , 649.88
ALLY," Ally, Financial. ", 33.51 , 31.04 , 31.05 , 31.17 , 32.10 , 32.04 , 32.47
NIKE, Nike  , 134.70 , 135.44 , 135.58 , 136.96 , 137.19, 138.75 , 139.12
UBER," Uber, Technologies ", 49.66 , 49.63 , 53.09 , 52.52 , 54.86 , 53.80 , 53.01
NVDA, NVIDIA , 536.06 , 535.60 , 541.78 , 535.84 , 542.33 , 544.27 , 534.00
SPOT, Spotify Technology , 341.22 , 284.99 , 320.89 , 316.43 , 319.77 , 342.00 , 332.86
ADT, ADT Security , 7.77 , 7.76, 7.95 , 7.76 , 8.45 , 8.12 , 8.48
KO, Coca-Cola , 51.60 , 52.04 , 52.11 , 52.78 , 53.85 , 52.99 , 53.18
BAC, Bank of America Corporation , 28.16 , 28.69 , 29.06 , 28.91 , 29.29 , 29.09 , 28.93
PLNT, Planet Fitness , 25.58 , 32.49 , 31.78 , 29.72 , 28.49 , 35.22 , 37.54
RLJ, RLJ Lodging Trust , 12.33 , 12.95 , 12.81 , 13.22 , 14.07 , 13.34 , 13.56
Z, Zillow Group Inc. , 107.81 , 107.19 , 107.10 , 107.27 , 106.97 , 111.92 , 114.70
Amazon, Amazon.com Inc. , 3168.04 , 3220.08 , 3203.53 , 3186.73 , 3162.58 , 3158.00 , 3177.29
